                 GoT character | # | Like 'Adrack Humble'
                       'Grenn' | 1 | 60.0% (2)
                      'Bannen' | 2 | 50.0% (3)
                     'Brienne' | 3 | 57.1% (3)
                      'Drogon' | 4 | 50.0% (3)
                        'Gren' | 5 | 40.0% (3)
                       'Qhono' | 6 | 40.0% (3)
                       'Barra' | 7 | 20.0% (4)
                       'Billy' | 8 | 20.0% (4)

                 GoT character | # | Like 'Brother Ray'
                'Arthur Dayne' | 1 | 50.0% (6)
                 'Lothar Frey' | 2 | 45.5% (6)
                   'White Rat' | 3 | 45.5% (6)
                       'Biter' | 4 | 36.4% (7)
                       'Borba' | 5 | 36.4% (7)
                       'Barra' | 6 | 27.3% (8)
                  'Bolton Son' | 7 | 27.3% (8)
                     'Brienne' | 8 | 27.3% (8)

                 GoT character | # | Like 'Catelyn Stark'
          'Lady Catelyn Stark' | 1 | 72.2% (5)
                  'Arya Stark' | 2 | 53.8% (6)
                'Benjen Stark' | 3 | 53.8% (6)
                  'Bran Stark' | 4 | 53.8% (6)
                   'Ned Stark' | 5 | 53.8% (6)
                 'Sansa Stark' | 6 | 53.8% (6)
                   'Rob Stark' | 7 | 46.2% (7)
                  'Robb Stark' | 8 | 46.2% (7)

                 GoT character | # | Like 'Catspaw assassin'
              'Master Cressen' | 1 | 37.5% (10)
               'Catelyn Stark' | 2 | 31.2% (11)
               'Maester Luwin' | 3 | 31.2% (11)
                'Master Eaton' | 4 | 31.2% (11)
               'Ramsay Bolton' | 5 | 31.2% (11)
                 'Sansa Stark' | 6 | 31.2% (11)
              'Daario Naharis' | 7 | 25.0% (12)
               'Great Masters' | 8 | 25.0% (12)

                 GoT character | # | Like 'Cersei'
                       'Karsi' | 1 | 50.0% (3)
                      'Cooper' | 2 | 33.3% (4)
                     'Craster' | 3 | 42.9% (4)
                       'Gared' | 4 | 33.3% (4)
                        'Gren' | 5 | 33.3% (4)
                      'Harker' | 6 | 33.3% (4)
                        'Irri' | 7 | 33.3% (4)
                        'Kegs' | 8 | 33.3% (4)

                 GoT character | # | Like 'Cooper'
                       'Biter' | 1 | 33.3% (4)
                      'Cersei' | 2 | 33.3% (4)
                     'Craster' | 3 | 42.9% (4)
                      'Dagmer' | 4 | 33.3% (4)
                      'Harker' | 5 | 33.3% (4)
                       'Hodor' | 6 | 33.3% (4)
                       'Locke' | 7 | 33.3% (4)
                      'Lorren' | 8 | 33.3% (4)

                 GoT character | # | Like 'Craster'
                       'Biter' | 1 | 42.9% (4)
                      'Cersei' | 2 | 42.9% (4)
                      'Cooper' | 3 | 42.9% (4)
                      'Dagmer' | 4 | 42.9% (4)
                      'Harker' | 5 | 42.9% (4)
                        'Rast' | 6 | 42.9% (4)
                      'Bannen' | 7 | 28.6% (5)
                       'Gared' | 8 | 28.6% (5)

                 GoT character | # | Like 'Daario Naharis'
                 'Syrio Forel' | 1 | 35.7% (9)
                  'Areo Hotah' | 2 | 28.6% (10)
                  'Arya Stark' | 3 | 28.6% (10)
                  'Bran Stark' | 4 | 28.6% (10)
                'Dickon Tarly' | 5 | 28.6% (10)
                      'Doreah' | 6 | 28.6% (10)
                'Ellaria Sand' | 7 | 28.6% (10)
                 'Karl Tanner' | 8 | 28.6% (10)

                 GoT character | # | Like 'Daenerys Targaryen'
        'King Aerys Targaryen' | 1 | 70.0% (6)
    'Queen Daenerys Targaryen' | 2 | 75.0% (6)
    'Prince Viserys Targaryen' | 3 | 62.5% (9)
             'Master Torturer' | 4 | 44.4% (10)
              'Daario Naharis' | 5 | 38.9% (11)
             'Lady Lysa Arryn' | 6 | 38.9% (11)
              'Master Cressen' | 7 | 38.9% (11)
                 'Meryn Trant' | 8 | 38.9% (11)

                 GoT character | # | Like 'Dagmer'
                      'Harker' | 1 | 50.0% (3)
                      'Summer' | 2 | 50.0% (3)
                      'Bannen' | 3 | 33.3% (4)
                       'Biter' | 4 | 33.3% (4)
                      'Cooper' | 5 | 33.3% (4)
                     'Craster' | 6 | 42.9% (4)
                       'Gared' | 7 | 33.3% (4)
                       'Jaqen' | 8 | 33.3% (4)

                 GoT character | # | Like 'Dickon Tarly'
               'Samwell Tarly' | 1 | 46.2% (7)
                   'Emmon Cuy' | 2 | 33.3% (8)
                'Hoster Tully' | 3 | 33.3% (8)
                  'Thenn Warg' | 4 | 33.3% (8)
                       'Varly' | 5 | 33.3% (8)
                 'Vayon Poole' | 6 | 33.3% (8)
                'Benjen Stark' | 7 | 25.0% (9)
                       'Billy' | 8 | 25.0% (9)

                 GoT character | # | Like 'Dongo'
                      'Drogon' | 1 | 50.0% (3)
                        'Iggo' | 2 | 40.0% (3)
                        'Mago' | 3 | 40.0% (3)
                       'Qhono' | 4 | 40.0% (3)
                       'Qotho' | 5 | 40.0% (3)
                       'Rorge' | 6 | 40.0% (3)
                        'Akho' | 7 | 20.0% (4)
                       'Borba' | 8 | 20.0% (4)

                 GoT character | # | Like 'Donnel Hill'
                'Hoster Tully' | 1 | 41.7% (7)
                      'Lowell' | 2 | 36.4% (7)
                      'Bannen' | 3 | 27.3% (8)
                       'Dongo' | 4 | 27.3% (8)
                      'Doreah' | 5 | 27.3% (8)
                   'Dying Man' | 6 | 27.3% (8)
                   'Grey Wind' | 7 | 27.3% (8)
                  'Jojen Reed' | 8 | 27.3% (8)

                 GoT character | # | Like 'Doreah'
                       'Borba' | 1 | 50.0% (3)
                      'Morgan' | 2 | 50.0% (3)
                        'Nora' | 3 | 50.0% (3)
                       'Yoren' | 4 | 50.0% (3)
                       'Barra' | 5 | 33.3% (4)
                       'Dongo' | 6 | 33.3% (4)
                     'Drennan' | 7 | 42.9% (4)
                       'Gared' | 8 | 33.3% (4)

                 GoT character | # | Like 'Drennan'
                       'Grenn' | 1 | 57.1% (3)
                      'Bannen' | 2 | 42.9% (4)
                     'Brienne' | 3 | 42.9% (4)
                       'Bronn' | 4 | 42.9% (4)
                      'Doreah' | 5 | 42.9% (4)
                      'Drogon' | 6 | 42.9% (4)
                        'Gren' | 7 | 42.9% (4)
                       'Dongo' | 8 | 28.6% (5)

                 GoT character | # | Like 'Drogon'
                       'Bronn' | 1 | 50.0% (3)
                       'Dongo' | 2 | 50.0% (3)
                     'Drennan' | 3 | 42.9% (4)
                        'Gren' | 4 | 33.3% (4)
                       'Grenn' | 5 | 33.3% (4)
                      'Guymon' | 6 | 33.3% (4)
                       'Hodor' | 7 | 33.3% (4)
                        'Iggo' | 8 | 33.3% (4)

                 GoT character | # | Like 'Dying Man'
                     'Drennan' | 1 | 44.4% (5)
                     'Old Man' | 2 | 44.4% (5)
                  'Tyene Sand' | 3 | 50.0% (5)
                       'Dongo' | 4 | 33.3% (6)
                      'Drogon' | 5 | 33.3% (6)
                      'Morgan' | 6 | 33.3% (6)
                   'White Rat' | 7 | 33.3% (6)
                      'Bannen' | 8 | 22.2% (7)

                 GoT character | # | Like 'Eddison Tollett'
                 'Vayon Poole' | 1 | 40.0% (9)
              'Alliser Thorne' | 2 | 33.3% (10)
             'Bolton Soldiers' | 3 | 33.3% (10)
                'Dickon Tarly' | 4 | 33.3% (10)
                 'Syrio Forel' | 5 | 33.3% (10)
                  'Bolton Son' | 6 | 26.7% (11)
                   'Emmon Cuy' | 7 | 26.7% (11)
               'Euron Greyjoy' | 8 | 26.7% (11)

                 GoT character | # | Like 'Ellaria Sand'
                'Nymeria Sand' | 1 | 66.7% (4)
                  'Obara Sand' | 2 | 66.7% (4)
                  'Tyene Sand' | 3 | 41.7% (7)
                  'Arya Stark' | 4 | 33.3% (8)
                  'Bolton Son' | 5 | 33.3% (8)
                   'Grey Wind' | 6 | 33.3% (8)
                  'Meera Reed' | 7 | 33.3% (8)
