                 GoT character | # | Like 'Adrack Humble'
            'Lord Mace Tyrell' | 8 | 43.8% (9)

                 GoT character | # | Like 'Lord Mace Tyrell'
            'Lord Walder Frey' | 1 | 50.0% (8)
               'Olenna Tyrell' | 2 | 50.0% (8)
            'Ser Loras Tyrell' | 3 | 50.0% (8)
          'Lady Olenna Tyrell' | 4 | 50.0% (9)
              'Lord Jon Arryn' | 5 | 43.8% (9)
              'Lord Jon Umber' | 6 | 43.8% (9)
              'Lord Ned Umber' | 7 | 43.8% (9)
               'Lord of Bones' | 8 | 43.8% (9)

                 GoT character | # | Like 'Lord Medgar Cerwyn'
                 'Lady Cerwyn' | 1 | 50.0% (9)
              'Lord Jon Arryn' | 2 | 50.0% (9)
              'Lord Ned Umber' | 3 | 50.0% (9)
            'Lord Walder Frey' | 4 | 50.0% (9)
            'Lord Mace Tyrell' | 5 | 44.4% (10)
          'Lord Ramsay Bolton' | 6 | 44.4% (10)
             'Lady Lysa Arryn' | 7 | 38.9% (11)
            'Lord Janos Slynt' | 8 | 38.9% (11)

                 GoT character | # | Like 'Lord Ned Umber'
              'Lord Jon Umber' | 1 | 78.6% (3)
                   'Jon Umber' | 2 | 50.0% (7)
         'Lord Greatjon Umber' | 3 | 63.2% (7)
               'Lord of Bones' | 4 | 50.0% (7)
              'Lord Jon Arryn' | 5 | 42.9% (8)
            'Lord Mace Tyrell' | 6 | 43.8% (9)
          'Lord Medgar Cerwyn' | 7 | 50.0% (9)
            'Lord Walder Frey' | 8 | 43.8% (9)

                 GoT character | # | Like 'Lord Ramsay Bolton'
           'Lord Roose Bolton' | 1 | 77.8% (4)
               'Ramsay Bolton' | 2 | 72.2% (5)
           'Lady Walda Bolton' | 3 | 61.1% (7)
                'Roose Bolton' | 4 | 50.0% (9)
            'Lord Janos Slynt' | 5 | 44.4% (10)
          'Lord Medgar Cerwyn' | 6 | 44.4% (10)
               'Lord of Bones' | 7 | 44.4% (10)
              'Lord Jon Arryn' | 8 | 38.9% (11)

                 GoT character | # | Like 'Lord Rickard Karstark'
            'Rickard Karstark' | 1 | 76.2% (5)
       'Lord Eddard Ned Stark' | 2 | 57.1% (9)
          'Lady Alys Karstark' | 3 | 52.4% (10)
          'Lord Medgar Cerwyn' | 4 | 42.9% (12)
          'Lord Ramsay Bolton' | 5 | 42.9% (12)
           'Lady Lyanna Stark' | 6 | 38.1% (13)
            'Lord Mace Tyrell' | 7 | 38.1% (13)
              'Lord Ned Umber' | 8 | 38.1% (13)

                 GoT character | # | Like 'Lord Roose Bolton'
          'Lord Ramsay Bolton' | 1 | 77.8% (4)
                'Roose Bolton' | 2 | 70.6% (5)
           'Lady Walda Bolton' | 3 | 52.9% (8)
               'Lord of Bones' | 4 | 52.9% (8)
            'Lord Janos Slynt' | 5 | 47.1% (9)
              'Lord Jon Arryn' | 6 | 47.1% (9)
               'Ramsay Bolton' | 7 | 47.1% (9)
              'Lord Jon Umber' | 8 | 41.2% (10)

                 GoT character | # | Like 'Lord Theon Greyjoy'
               'Theon Greyjoy' | 1 | 72.2% (5)
               'Euron Greyjoy' | 2 | 61.1% (7)
          'King Balon Greyjoy' | 3 | 61.1% (7)
              'Lord Jon Arryn' | 4 | 55.6% (8)
            'Lord Janos Slynt' | 5 | 44.4% (10)
              'Lord Jon Umber' | 6 | 44.4% (10)
            'Lord Walder Frey' | 7 | 44.4% (10)
            'Lord Mace Tyrell' | 8 | 38.9% (11)

                 GoT character | # | Like 'Lord Tywin Lannister'
            'Martyn Lannister' | 1 | 65.0% (7)
         'Ser Alton Lannister' | 2 | 65.0% (7)
         'Ser Kevan Lannister' | 3 | 65.0% (7)
            'Tyrion Lannister' | 4 | 65.0% (7)
            'Lancel Lannister' | 5 | 55.0% (9)
        'Ser Lancel Lannister' | 6 | 55.0% (9)
             'Jaime Lannister' | 7 | 50.0% (10)
          'Stafford Lannister' | 8 | 50.0% (10)

                 GoT character | # | Like 'Lord Walder Frey'
                 'Walder Frey' | 1 | 68.8% (5)
                 'Lothar Frey' | 2 | 56.2% (7)
            'Lord Mace Tyrell' | 3 | 50.0% (8)
              'Lord Jon Arryn' | 4 | 43.8% (9)
          'Lord Medgar Cerwyn' | 5 | 50.0% (9)
              'Lord Ned Umber' | 6 | 43.8% (9)
         'Black Walder Rivers' | 7 | 47.4% (10)
            'Lord Janos Slynt' | 8 | 37.5% (10)

                 GoT character | # | Like 'Lord of Bones'
              'Lord Jon Umber' | 1 | 57.1% (6)
              'Lord Jon Arryn' | 2 | 50.0% (7)
              'Lord Ned Umber' | 3 | 50.0% (7)
                  'Bolton Son' | 4 | 38.5% (8)
           'Lord Roose Bolton' | 5 | 52.9% (8)
                 'Syrio Forel' | 6 | 38.5% (8)
                  'Areo Hotah' | 7 | 30.8% (9)
                      'Drogon' | 8 | 30.8% (9)

                 GoT character | # | Like 'Lorren'
                       'Yoren' | 1 | 66.7% (2)
                        'Gren' | 2 | 50.0% (3)
                       'Locke' | 3 | 50.0% (3)
                      'Morgan' | 4 | 50.0% (3)
                       'Rorge' | 5 | 50.0% (3)
                      'Bannen' | 6 | 33.3% (4)
                       'Barra' | 7 | 33.3% (4)
                       'Borba' | 8 | 33.3% (4)

                 GoT character | # | Like 'Lothar Frey'
                 'Walder Frey' | 1 | 54.5% (5)
                 'Brother Ray' | 2 | 45.5% (6)
                      'Lorren' | 3 | 45.5% (6)
            'Lord Walder Frey' | 4 | 56.2% (7)
                   'Pyat Pree' | 5 | 36.4% (7)
                'Arthur Dayne' | 6 | 33.3% (8)
                       'Barra' | 7 | 27.3% (8)
                       'Gared' | 8 | 27.3% (8)

                 GoT character | # | Like 'Lowell'
                       'Orell' | 1 | 50.0% (3)
                      'Doreah' | 2 | 33.3% (4)
                        'Leaf' | 3 | 33.3% (4)
                         'Lem' | 4 | 33.3% (4)
                      'Loboda' | 5 | 33.3% (4)
                       'Locke' | 6 | 33.3% (4)
                      'Lorren' | 7 | 33.3% (4)
                     'Riddell' | 8 | 42.9% (4)

                 GoT character | # | Like 'Maester Aemon'
               'Maester Luwin' | 1 | 69.2% (4)
                'Master Eaton' | 2 | 69.2% (4)
              'Master Cressen' | 3 | 57.1% (6)
            'Maester Caleotte' | 4 | 56.2% (7)
                'Hoster Tully' | 5 | 38.5% (8)
                  'Meera Reed' | 6 | 38.5% (8)
                    'Viserion' | 7 | 38.5% (8)
                  'Bolton Son' | 8 | 30.8% (9)

                 GoT character | # | Like 'Maester Caleotte'
               'Maester Aemon' | 1 | 56.2% (7)
              'Master Cressen' | 2 | 56.2% (7)
                'Master Eaton' | 3 | 56.2% (7)
               'Maester Luwin' | 4 | 50.0% (8)
                  'Bernadette' | 5 | 43.8% (9)
              'Gregor Clegane' | 6 | 43.8% (9)
             'Master Torturer' | 7 | 43.8% (9)
              'Sandor Clegane' | 8 | 43.8% (9)

                 GoT character | # | Like 'Maester Luwin'
               'Maester Aemon' | 1 | 69.2% (4)
                'Master Eaton' | 2 | 61.5% (5)
                'Hoster Tully' | 3 | 46.2% (7)
              'Master Cressen' | 4 | 50.0% (7)
             'Lannister Guard' | 5 | 46.7% (8)
            'Maester Caleotte' | 6 | 50.0% (8)
             'Master Torturer' | 7 | 46.7% (8)
                     'Craster' | 8 | 30.8% (9)

                 GoT character | # | Like 'Mag Mar Tun Doh Weg'
         'Wun Weg Wun Dar Wun' | 1 | 42.1% (11)
            'Ser Mandon Moore' | 2 | 36.8% (12)
            'Maester Caleotte' | 3 | 31.6% (13)
             'Master Torturer' | 4 | 31.6% (13)
           'Mole's Town Whore' | 5 | 31.6% (13)
            'Ser Arthur Dayne' | 6 | 31.6% (13)
                'Waymar Royce' | 7 | 31.6% (13)
              'Alliser Thorne' | 8 | 26.3% (14)

                 GoT character | # | Like 'Mago'
                        'Iggo' | 1 | 50.0% (2)
                        'Mero' | 2 | 50.0% (2)
                        'Akho' | 3 | 25.0% (3)
                       'Dongo' | 4 | 40.0% (3)
                        'Jack' | 5 | 25.0% (3)
                        'Kegs' | 6 | 25.0% (3)
                        'Lady' | 7 | 25.0% (3)
                        'Rast' | 8 | 25.0% (3)

                 GoT character | # | Like 'Martyn Lannister'
            'Tyrion Lannister' | 1 | 75.0% (4)
             'Jaime Lannister' | 2 | 68.8% (5)
            'Lancel Lannister' | 3 | 68.8% (5)
         'Ser Alton Lannister' | 4 | 68.4% (6)
            'Willem Lannister' | 5 | 62.5% (6)
        'Lord Tywin Lannister' | 6 | 65.0% (7)
         'Ser Kevan Lannister' | 7 | 63.2% (7)
          'Stafford Lannister' | 8 | 61.1% (7)

                 GoT character | # | Like 'Master Cressen'
               'Maester Aemon' | 1 | 57.1% (6)
                'Master Eaton' | 2 | 57.1% (6)
             'Master Torturer' | 3 | 60.0% (6)
            'Maester Caleotte' | 4 | 56.2% (7)
               'Maester Luwin' | 5 | 50.0% (7)
                 'Walder Frey' | 6 | 42.9% (8)
                'Water Dancer' | 7 | 42.9% (8)
                'Hoster Tully' | 8 | 35.7% (9)

                 GoT character | # | Like 'Master Eaton'
               'Maester Aemon' | 1 | 69.2% (4)
               'Maester Luwin' | 2 | 61.5% (5)
              'Master Cressen' | 3 | 57.1% (6)
                'Hoster Tully' | 4 | 41.7% (7)
            'Maester Caleotte' | 5 | 56.2% (7)
             'Master Torturer' | 6 | 53.3% (7)
                    'Viserion' | 7 | 41.7% (7)
                'Water Dancer' | 8 | 41.7% (7)

                 GoT character | # | Like 'Master Torturer'
              'Master Cressen' | 1 | 60.0% (6)
                'Master Eaton' | 2 | 53.3% (7)
                'Hoster Tully' | 3 | 46.7% (8)
               'Maester Luwin' | 4 | 46.7% (8)
                'Water Dancer' | 5 | 46.7% (8)
               'Maester Aemon' | 6 | 40.0% (9)
            'Maester Caleotte' | 7 | 43.8% (9)
                    'Mortimer' | 8 | 40.0% (9)

                 GoT character | # | Like 'Matthos Seaworth'
               'Catelyn Stark' | 1 | 37.5% (10)
                 'Janos Slynt' | 2 | 37.5% (10)
                'Master Eaton' | 3 | 37.5% (10)
                    'Mossador' | 4 | 37.5% (10)
                  'Bolton Son' | 5 | 31.2% (11)
              'Daario Naharis' | 6 | 31.2% (11)
               'Maester Aemon' | 7 | 31.2% (11)
            'Maester Caleotte' | 8 | 31.2% (11)

                 GoT character | # | Like 'Meera Reed'
                  'Jojen Reed' | 1 | 50.0% (5)
                  'Obara Sand' | 2 | 40.0% (6)
                      'Cersei' | 3 | 30.0% (7)
                     'Craster' | 4 | 30.0% (7)
                       'Gared' | 5 | 30.0% (7)
                   'Grey Wind' | 6 | 30.0% (7)
                      'Heward' | 7 | 30.0% (7)
                  'Melisandre' | 8 | 30.0% (7)

                 GoT character | # | Like 'Meereenese champion'
               'Maester Aemon' | 1 | 36.8% (12)
               'Maester Luwin' | 2 | 31.6% (13)
                'Master Eaton' | 3 | 31.6% (13)
                  'Meera Reed' | 4 | 31.6% (13)
            'Merchant Captain' | 5 | 31.6% (13)
                 'Meryn Trant' | 6 | 31.6% (13)
      'Queen Selyse Baratheon' | 7 | 40.9% (13)
            'Three Eyed Raven' | 8 | 31.6% (13)

                 GoT character | # | Like 'Melisandre'
             'Lady Melisandre' | 1 | 66.7% (5)
                    'Mossador' | 2 | 40.0% (6)
                     'Myranda' | 3 | 40.0% (6)
                     'Brienne' | 4 | 30.0% (7)
                      'Heward' | 5 | 30.0% (7)
                  'Meera Reed' | 6 | 30.0% (7)
                        'Mero' | 7 | 30.0% (7)
                      'Morgan' | 8 | 30.0% (7)

                 GoT character | # | Like 'Merchant Captain'
                  'Bran Stark' | 1 | 37.5% (10)
               'Great Masters' | 2 | 37.5% (10)
                 'Meryn Trant' | 3 | 37.5% (10)
                  'Arya Stark' | 4 | 31.2% (11)
                'Benjen Stark' | 5 | 31.2% (11)
                'Master Eaton' | 6 | 31.2% (11)
                     'Myranda' | 7 | 31.2% (11)
            'Rickard Karstark' | 8 | 31.2% (11)

                 GoT character | # | Like 'Mero'
                        'Mago' | 1 | 50.0% (2)
                        'Akho' | 2 | 25.0% (3)
                        'Iggo' | 3 | 25.0% (3)
                        'Irri' | 4 | 25.0% (3)
                        'Kegs' | 5 | 25.0% (3)
                        'Leaf' | 6 | 25.0% (3)
                         'Lem' | 7 | 25.0% (3)
                        'Nora' | 8 | 25.0% (3)

                 GoT character | # | Like 'Meryn Trant'
             'Ser Meryn Trant' | 1 | 73.3% (4)
                  'Lady Crane' | 2 | 45.5% (6)
                  'Arya Stark' | 3 | 36.4% (7)
                  'Bran Stark' | 4 | 36.4% (7)
                     'Drennan' | 5 | 36.4% (7)
                      'Morgan' | 6 | 36.4% (7)
                     'Myranda' | 7 | 36.4% (7)
                       'Barra' | 8 | 27.3% (8)

                 GoT character | # | Like 'Mirri Maz Duur'
                 'Karl Tanner' | 1 | 28.6% (10)
                  'Meera Reed' | 2 | 28.6% (10)
                    'Mortimer' | 3 | 28.6% (10)
                  'Arya Stark' | 4 | 21.4% (11)
                       'Barra' | 5 | 21.4% (11)
                  'Bran Stark' | 6 | 21.4% (11)
                     'Craster' | 7 | 21.4% (11)
              'Daario Naharis' | 8 | 21.4% (11)

                 GoT character | # | Like 'Mole's Town Whore'
               'Olly's Mother' | 1 | 41.2% (10)
              'Alliser Thorne' | 2 | 35.3% (11)
                  'Bolton Son' | 3 | 35.3% (11)
                  'Melisandre' | 4 | 35.3% (11)
            'Ser Mandon Moore' | 5 | 35.3% (11)
             'Bolton Soldiers' | 6 | 29.4% (12)
                   'Grey Worm' | 7 | 29.4% (12)
              'Lord Jon Arryn' | 8 | 29.4% (12)

                 GoT character | # | Like 'Morgan'
                       'Borba' | 1 | 50.0% (3)
                      'Doreah' | 2 | 50.0% (3)
                      'Lorren' | 3 | 50.0% (3)
                        'Nora' | 4 | 50.0% (3)
                       'Rorge' | 5 | 50.0% (3)
                       'Yoren' | 6 | 50.0% (3)
                       'Barra' | 7 | 33.3% (4)
                       'Bronn' | 8 | 33.3% (4)

                 GoT character | # | Like 'Mortimer'
                    'Polliver' | 1 | 50.0% (4)
                       'Biter' | 2 | 37.5% (5)
                      'Cooper' | 3 | 37.5% (5)
                     'Craster' | 4 | 37.5% (5)
                      'Dagmer' | 5 | 37.5% (5)
                      'Harker' | 6 | 37.5% (5)
                   'Jon Umber' | 7 | 44.4% (5)
                      'Lorren' | 8 | 37.5% (5)

                 GoT character | # | Like 'Mossador'
                       'Hodor' | 1 | 50.0% (4)
                        'Mago' | 2 | 37.5% (5)
                      'Morgan' | 3 | 37.5% (5)
                    'Mortimer' | 4 | 37.5% (5)
                       'Borba' | 5 | 25.0% (6)
                      'Cooper' | 6 | 25.0% (6)
                     'Craster' | 7 | 25.0% (6)
                       'Dongo' | 8 | 25.0% (6)

                 GoT character | # | Like 'Mully'
                       'Billy' | 1 | 60.0% (2)
                        'Olly' | 2 | 60.0% (2)
                       'Sally' | 3 | 60.0% (2)
                       'Varly' | 4 | 40.0% (3)
                        'Will' | 5 | 40.0% (3)
                       'Zalla' | 6 | 40.0% (3)
                       'Gordy' | 7 | 20.0% (4)
                        'Lady' | 8 | 20.0% (4)

                 GoT character | # | Like 'Mycah'
                       'Pypar' | 1 | 40.0% (3)
                      'Doreah' | 2 | 33.3% (4)
                        'Jack' | 3 | 20.0% (4)
                        'Leaf' | 4 | 20.0% (4)
                       'Locke' | 5 | 20.0% (4)
                        'Mago' | 6 | 20.0% (4)
                        'Mero' | 7 | 20.0% (4)
                      'Morgan' | 8 | 33.3% (4)

                 GoT character | # | Like 'Myranda'
                      'Morgan' | 1 | 42.9% (4)
                       'Mycah' | 2 | 42.9% (4)
                       'Barra' | 3 | 28.6% (5)
                       'Borba' | 4 | 28.6% (5)
                       'Bronn' | 5 | 28.6% (5)
                     'Drennan' | 6 | 28.6% (5)
                       'Gared' | 7 | 28.6% (5)
                       'Gordy' | 8 | 28.6% (5)

                 GoT character | # | Like 'Ned Stark'
                   'Rob Stark' | 1 | 66.7% (3)
                  'Arya Stark' | 2 | 60.0% (4)
                  'Bran Stark' | 3 | 60.0% (4)
                  'Robb Stark' | 4 | 60.0% (4)
                'Benjen Stark' | 5 | 58.3% (5)
                 'Sansa Stark' | 6 | 54.5% (5)
               'Catelyn Stark' | 7 | 53.8% (6)
                      'Heward' | 8 | 33.3% (6)

                 GoT character | # | Like 'Night King'
                      'Wights' | 1 | 40.0% (6)
                      'Gatins' | 2 | 30.0% (7)
                   'Grey Wind' | 3 | 30.0% (7)
                       'Biter' | 4 | 20.0% (8)
                   'Dying Man' | 5 | 20.0% (8)
                       'Ghita' | 6 | 20.0% (8)
                  'Obara Sand' | 7 | 20.0% (8)
                     'Old Man' | 8 | 20.0% (8)

                 GoT character | # | Like 'Nora'
                       'Borba' | 1 | 60.0% (2)
                       'Barra' | 2 | 40.0% (3)
                      'Doreah' | 3 | 50.0% (3)
                       'Gordy' | 4 | 40.0% (3)
                        'Irri' | 5 | 25.0% (3)
                        'Mero' | 6 | 25.0% (3)
                      'Morgan' | 7 | 50.0% (3)
                        'Osha' | 8 | 25.0% (3)

                 GoT character | # | Like 'Nymeria Sand'
                'Ellaria Sand' | 1 | 66.7% (4)
                  'Obara Sand' | 2 | 58.3% (5)
                  'Tyene Sand' | 3 | 58.3% (5)
                  'Meera Reed' | 4 | 41.7% (7)
                  'Arya Stark' | 5 | 33.3% (8)
                   'Dying Man' | 6 | 33.3% (8)
                   'Grey Wind' | 7 | 33.3% (8)
                 'Meryn Trant' | 8 | 33.3% (8)

                 GoT character | # | Like 'Obara Sand'
                'Ellaria Sand' | 1 | 66.7% (4)
                'Nymeria Sand' | 2 | 58.3% (5)
                  'Tyene Sand' | 3 | 50.0% (5)
                  'Meera Reed' | 4 | 40.0% (6)
                     'Old Man' | 5 | 40.0% (6)
                  'Arya Stark' | 6 | 30.0% (7)
                       'Barra' | 7 | 30.0% (7)
                  'Bran Stark' | 8 | 30.0% (7)

                 GoT character | # | Like 'Old Man'
                     'Drennan' | 1 | 28.6% (5)
                   'Dying Man' | 2 | 44.4% (5)
                      'Morgan' | 3 | 28.6% (5)
                        'Olly' | 4 | 28.6% (5)
                        'Osha' | 5 | 28.6% (5)
                      'Bannen' | 6 | 14.3% (6)
                       'Barra' | 7 | 14.3% (6)
                       'Borba' | 8 | 14.3% (6)

                 GoT character | # | Like 'Olenna Tyrell'
          'Lady Olenna Tyrell' | 1 | 72.2% (5)
            'Lord Mace Tyrell' | 2 | 50.0% (8)
                       'Orell' | 3 | 38.5% (8)
                'Septa Unella' | 4 | 38.5% (8)
            'Ser Loras Tyrell' | 5 | 50.0% (8)
                  'Thenn Warg' | 6 | 38.5% (8)
                  'Bernadette' | 7 | 30.8% (9)
                'Dickon Tarly' | 8 | 30.8% (9)

                 GoT character | # | Like 'Olly'
                       'Billy' | 1 | 60.0% (2)
                       'Mully' | 2 | 60.0% (2)
                       'Sally' | 3 | 60.0% (2)
                        'Lady' | 4 | 25.0% (3)
                       'Orell' | 5 | 40.0% (3)
                        'Osha' | 6 | 25.0% (3)
                       'Varly' | 7 | 40.0% (3)
                        'Will' | 8 | 25.0% (3)

                 GoT character | # | Like 'Olly's Mother'
                     'Craster' | 1 | 30.8% (9)
                     'Old Man' | 2 | 30.8% (9)
                        'Olly' | 3 | 30.8% (9)
                       'Othor' | 4 | 30.8% (9)
                 'Vayon Poole' | 5 | 30.8% (9)
              'Alliser Thorne' | 6 | 28.6% (10)
                  'Amory Loch' | 7 | 23.1% (10)
                  'Areo Hotah' | 8 | 23.1% (10)

                 GoT character | # | Like 'Orell'
                        'Gren' | 1 | 40.0% (3)
                       'Grenn' | 2 | 40.0% (3)
                      'Lowell' | 3 | 50.0% (3)
                        'Olly' | 4 | 40.0% (3)
                        'Will' | 5 | 40.0% (3)
                       'Billy' | 6 | 20.0% (4)
                       'Bronn' | 7 | 20.0% (4)
                      'Doreah' | 8 | 33.3% (4)

                 GoT character | # | Like 'Osha'
                        'Akho' | 1 | 25.0% (3)
                        'Nora' | 2 | 25.0% (3)
                        'Olly' | 3 | 25.0% (3)
                       'Othor' | 4 | 40.0% (3)
                        'Shae' | 5 | 25.0% (3)
                       'Barra' | 6 | 20.0% (4)
                       'Borba' | 7 | 20.0% (4)
                       'Ghita' | 8 | 20.0% (4)

                 GoT character | # | Like 'Othor'
                        'Akho' | 1 | 40.0% (3)
                       'Hodor' | 2 | 40.0% (3)
                        'Osha' | 3 | 40.0% (3)
                       'Qotho' | 4 | 40.0% (3)
                        'Styr' | 5 | 40.0% (3)
                       'Biter' | 6 | 20.0% (4)
                       'Ghost' | 7 | 20.0% (4)
                        'Iggo' | 8 | 20.0% (4)

                 GoT character | # | Like 'Oznak zo Pahl'
                  'Areo Hotah' | 1 | 30.8% (9)
                 'Khal Forzho' | 2 | 30.8% (9)
                  'Obara Sand' | 3 | 30.8% (9)
              'Razdal mo Eraz' | 4 | 35.7% (9)
                  'Amory Loch' | 5 | 23.1% (10)
                  'Arya Stark' | 6 | 23.1% (10)
                  'Bran Stark' | 7 | 23.1% (10)
                'Dickon Tarly' | 8 | 23.1% (10)

                 GoT character | # | Like 'Petyr Baelish'
                      'Cersei' | 1 | 30.8% (9)
                'Septa Unella' | 2 | 30.8% (9)
                'Water Dancer' | 3 | 30.8% (9)
                'Arthur Dayne' | 4 | 23.1% (10)
                  'Bernadette' | 5 | 23.1% (10)
                      'Doreah' | 6 | 23.1% (10)
              'Gregor Clegane' | 7 | 28.6% (10)
                   'Grey Wind' | 8 | 23.1% (10)

                 GoT character | # | Like 'Podrick Payne'
               'Adrack Humble' | 1 | 38.5% (8)
                'Arthur Dayne' | 2 | 38.5% (8)
              'Ser Ilyn Payne' | 3 | 42.9% (8)
                     'Brienne' | 4 | 30.8% (9)
                   'Dying Man' | 5 | 30.8% (9)
                'Ellaria Sand' | 6 | 30.8% (9)
                 'Jory Cassel' | 7 | 30.8% (9)
                 'Karl Tanner' | 8 | 30.8% (9)

                 GoT character | # | Like 'Polliver'
                    'Mortimer' | 1 | 50.0% (4)
                       'Biter' | 2 | 37.5% (5)
                      'Cooper' | 3 | 37.5% (5)
                      'Wallen' | 4 | 37.5% (5)
                       'Billy' | 5 | 25.0% (6)
                     'Craster' | 6 | 25.0% (6)
                      'Dagmer' | 7 | 25.0% (6)
                      'Harker' | 8 | 25.0% (6)

                 GoT character | # | Like 'Prendahl na Ghezn'
                     'Drennan' | 1 | 35.3% (11)
               'Great Masters' | 2 | 35.3% (11)
              'Razdal mo Eraz' | 3 | 35.3% (11)
             'Wendel Manderly' | 4 | 35.3% (11)
            'Hizdahr zo Loraq' | 5 | 29.4% (12)
                 'Karl Tanner' | 6 | 29.4% (12)
               'Olenna Tyrell' | 7 | 29.4% (12)
             'Ser Balon Swann' | 8 | 29.4% (12)

                 GoT character | # | Like 'Prince Doran Martell'
       'Prince Oberyn Martell' | 1 | 81.0% (4)
     'Prince Trystane Martell' | 2 | 73.9% (6)
         'Prince Rickon Stark' | 3 | 45.0% (11)
            'Ser Loras Tyrell' | 4 | 45.0% (11)
                'Dickon Tarly' | 5 | 40.0% (12)
               'Great Masters' | 6 | 40.0% (12)
  'Princess Shireen Baratheon' | 7 | 53.8% (12)
             'Jaime Lannister' | 8 | 35.0% (13)

                 GoT character | # | Like 'Prince Oberyn Martell'
        'Prince Doran Martell' | 1 | 81.0% (4)
     'Prince Trystane Martell' | 2 | 69.6% (7)
         'Prince Rickon Stark' | 3 | 47.6% (11)
    'Prince Viserys Targaryen' | 4 | 54.2% (11)
  'Princess Shireen Baratheon' | 5 | 53.8% (12)
       'King Robert Baratheon' | 6 | 38.1% (13)
          'Lady Olenna Tyrell' | 7 | 38.1% (13)
                'Dickon Tarly' | 8 | 33.3% (14)

                 GoT character | # | Like 'Prince Rickon Stark'
             'King Robb Stark' | 1 | 52.6% (9)
                'Benjen Stark' | 2 | 47.4% (10)
                  'Bran Stark' | 3 | 42.1% (11)
               'Catelyn Stark' | 4 | 42.1% (11)
        'Prince Doran Martell' | 5 | 45.0% (11)
       'Prince Oberyn Martell' | 6 | 47.6% (11)
                   'Rob Stark' | 7 | 42.1% (11)
                  'Arya Stark' | 8 | 36.8% (12)

                 GoT character | # | Like 'Prince Trystane Martell'
        'Prince Doran Martell' | 1 | 73.9% (6)
       'Prince Oberyn Martell' | 2 | 69.6% (7)
         'Prince Rickon Stark' | 3 | 43.5% (13)
    'Prince Viserys Targaryen' | 4 | 45.8% (13)
  'Princess Shireen Baratheon' | 5 | 46.2% (14)
          'Daenerys Targaryen' | 6 | 34.8% (15)
       'Grand Maester Pycelle' | 7 | 34.8% (15)
               'Great Masters' | 8 | 34.8% (15)

                 GoT character | # | Like 'Prince Viserys Targaryen'
        'King Aerys Targaryen' | 1 | 70.8% (7)
          'Daenerys Targaryen' | 2 | 62.5% (9)
    'Queen Daenerys Targaryen' | 3 | 58.3% (10)
       'Prince Oberyn Martell' | 4 | 54.2% (11)
        'Prince Doran Martell' | 5 | 45.8% (13)
         'Prince Rickon Stark' | 6 | 45.8% (13)
     'Prince Trystane Martell' | 7 | 45.8% (13)
  'Princess Shireen Baratheon' | 8 | 50.0% (13)

                 GoT character | # | Like 'Princess Myrcella Baratheon'
  'Princess Shireen Baratheon' | 1 | 74.1% (7)
        'King Renly Baratheon' | 2 | 55.6% (12)
      'King Joffrey Baratheon' | 3 | 51.9% (13)
       'King Robert Baratheon' | 4 | 51.9% (13)
       'King Tommen Baratheon' | 5 | 51.9% (13)
      'King Stannis Baratheon' | 6 | 48.1% (14)
        'Prince Doran Martell' | 7 | 48.1% (14)
       'Prince Oberyn Martell' | 8 | 48.1% (14)

                 GoT character | # | Like 'Princess Shireen Baratheon'
 'Princess Myrcella Baratheon' | 1 | 74.1% (7)
       'King Tommen Baratheon' | 2 | 57.7% (11)
      'King Joffrey Baratheon' | 3 | 53.8% (12)
       'King Robert Baratheon' | 4 | 53.8% (12)
      'King Stannis Baratheon' | 5 | 53.8% (12)
        'Prince Doran Martell' | 6 | 53.8% (12)
       'Prince Oberyn Martell' | 7 | 53.8% (12)
      'Queen Selyse Baratheon' | 8 | 53.8% (12)

                 GoT character | # | Like 'Pyat Pree'
                       'Gared' | 1 | 33.3% (6)
                       'Pypar' | 2 | 33.3% (6)
                      'Bannen' | 3 | 22.2% (7)
                       'Barra' | 4 | 22.2% (7)
                       'Biter' | 5 | 22.2% (7)
                     'Craster' | 6 | 22.2% (7)
                      'Dagmer' | 7 | 22.2% (7)
                      'Gatins' | 8 | 22.2% (7)

                 GoT character | # | Like 'Pypar'
                       'Mycah' | 1 | 40.0% (3)
                       'Biter' | 2 | 20.0% (4)
                      'Cooper' | 3 | 33.3% (4)
                      'Heward' | 4 | 33.3% (4)
                       'Hodor' | 5 | 20.0% (4)
                        'Leaf' | 6 | 20.0% (4)
                        'Nora' | 7 | 20.0% (4)
                        'Osha' | 8 | 20.0% (4)

                 GoT character | # | Like 'Qhono'
                       'Bronn' | 1 | 40.0% (3)
                       'Dongo' | 2 | 40.0% (3)
                       'Ghost' | 3 | 40.0% (3)
                       'Qotho' | 4 | 40.0% (3)
                        'Akho' | 5 | 20.0% (4)
                      'Drogon' | 6 | 33.3% (4)
                       'Ghita' | 7 | 20.0% (4)
                        'Gren' | 8 | 20.0% (4)

                 GoT character | # | Like 'Qhorin Halfhand'
              'Daario Naharis' | 1 | 33.3% (10)
                'Ellaria Sand' | 2 | 33.3% (10)
                 'Meryn Trant' | 3 | 33.3% (10)
                'Nymeria Sand' | 4 | 33.3% (10)
                  'Obara Sand' | 5 | 33.3% (10)
                  'Amory Loch' | 6 | 26.7% (11)
                  'Areo Hotah' | 7 | 26.7% (11)
