city	zip	longitude	latitude	views
Črniče	5262	13.777	45.908	5
Dobravlje	5263	13.841	45.885	25
Ajdovščina	5270	13.91	45.887	929
Vipava	5271	13.963	45.846	893
Podnanos	5272	13.972	45.797	1
Col	5273	14.001	45.881	19200
Črni Vrh nad Idrijo	5274	14.048	45.924	8
Godovič	5275	14.092	45.958	4
Idrija	5280	14.028	46.003	1480
Spodnja Idrija	5281	14.025	46.032	111
Cerkno	5282	13.989	46.129	828
Slap ob Idrijci	5283	13.805	46.121	7
Šempeter pri Gorici	5290	13.64	45.928	548
Miren	5291	13.608	45.895	1640
Renče	5292	13.67	45.89	51
Volčja Draga	5293	13.674	45.904	90
Dornberk	5294	13.738	45.888	6
Branik	5295	13.788	45.855	162
Kostanjevica na Krasu	5296	13.641	45.844	4
Prvačina	5297	13.715	45.889	6
Koper/Capodistria	6000	13.73	45.548	2760
Koper/Capodistria – P.P.	6001	13.73	45.548	2740
Sežana	6210	13.874	45.709	1190
Divača	6215	13.97	45.683	520
Podgorje	6216	13.953	45.528	8
Vremski Britof	6217	14.029	45.657	7
Lokev	6219	13.928	45.661	78
Dutovlje	6221	13.833	45.756	79
Štanjel	6222	13.844	45.823	142
Komen	6223	13.748	45.818	1730
Senožeče	6224	14.039	45.72	64
Hruševje	6225	14.117	45.762	28
Postojna	6230	14.213	45.775	3080
Planina	6232	14.252	45.83	1400
Kozina	6240	13.937	45.609	1820
Materija	6242	13.996	45.58	114
Obrov	6243	14.087	45.543	8
Podgrad	6244	14.146	45.524	92
Ilirska Bistrica	6250	14.242	45.57	532
Ilirska Bistrica-Trnovo	6251	14.24	45.572	3
Knežak	6253	14.245	45.625	5
Jelšane	6254	14.272	45.501	4
Prem	6255	14.183	45.605	8
Košana	6256	14.116	45.687	2
Pivka	6257	14.196	45.683	781
Prestranek	6258	14.183	45.731	136
Dekani	6271	13.813	45.549	161
Gračišče	6272	13.878	45.505	7
Marezige	6273	13.8	45.508	67
Šmarje	6274	13.718	45.5	856
Črni Kal	6275	13.878	45.55	485
Pobegi	6276	13.797	45.54	69
Ankaran/Ancarano	6280	13.736	45.579	134
Škofije	6281	13.802	45.572	458
Izola/Isola	6310	13.66	45.537	445
Portorož/Portorose	6320	13.591	45.514	1980
Piran/Pirano	6330	13.568	45.528	479
Sečovlje/Sicciole	6333	13.618	45.476	104
Novo mesto	8000	15.171	45.801	4690
Novo mesto – P.P.	8001	15.171	45.801	31000
Trebnje	8210	15.013	45.908	1040
Dobrnič	8211	14.979	45.876	1
Velika Loka	8212	14.968	45.93	978
Veliki Gaber	8213	14.907	45.937	111
Mirna Peč	8216	15.088	45.848	268
Šmarješke Toplice	8220	15.235	45.868	10
Otočec	8222	15.221	45.834	10
Mokronog	8230	15.146	45.943	9
Trebelno	8231	15.15	45.912	3
Šentrupert	8232	15.091	45.977	233
Mirna	8233	15.062	45.951	1230
Brežice	8250	15.596	45.909	1150
Čatež ob Savi	8251	15.602	45.891	48
Artiče	8253	15.584	45.953	4
Globoko	8254	15.634	45.955	6
Pišece	8255	15.646	46.003	4
Sromlje	8256	15.593	45.989	3
Dobova	8257	15.66	45.897	261
Kapele	8258	15.677	45.93	382
Bizeljsko	8259	15.693	46.015	8
Jesenice na Dolenjskem	8261	15.646	45.852	430
Krška vas	8262	15.571	45.891	795
Cerklje ob Krki	8263	15.52	45.884	222
Krško	8270	15.492	45.959	2580
Zdole	8272	15.544	45.976	1
Leskovec pri Krškem	8273	15.477	45.94	280
Raka	8274	15.382	45.928	18300
Škocjan	8275	13.993	45.665	1240
Bučka	8276	15.318	45.929	4
Brestanica	8280	15.477	45.996	75
Senovo	8281	15.476	46.019	171
Koprivnica	8282	15.541	46.036	1360
Blanca	8283	15.389	45.992	10
Sevnica	8290	15.298	46.013	975
Zabukovje	8292	14.316	46.248	1
Studenec	8293	15.35	45.971	190
Boštanj	8294	15.282	46.013	10
Tržišče	8295	15.194	45.958	7
Krmelj	8296	15.187	45.984	2
Šentjanž	8297	15.169	46.011	9
Šentjernej	8310	15.335	45.817	10
Kostanjevica na Krki	8311	15.422	45.845	324
Podbočje	8312	15.466	45.863	4
Brusnice	8321	15.274	45.791	70
Stopiče	8322	15.209	45.769	40
Uršna sela	8323	15.125	45.718	2
Metlika	8330	15.318	45.647	738
Suhor	8331	15.107	45.82	0
Gradac	8332	15.245	45.614	137
Semič	8333	15.182	45.652	1620
Črnomelj	8340	15.193	45.571	758
Adlešiči	8341	15.311	45.522	5
Stari trg ob Kolpi	8342	15.077	45.494	182
Dragatuš	8343	15.177	45.52	6
Vinica	8344	15.254	45.461	9
Dolenjske Toplice	8350	15.059	45.756	702
Straža	8351	15.095	45.777	338
Žužemberk	8360	14.93	45.831	8
Dvor	8361	14.968	45.808	1340
Hinje	8362	14.886	45.766	2
Murska Sobota	9000	16.161	46.658	3950
Murska Sobota – P.P.	9001	16.161	46.658	5710
Puconci	9201	16.157	46.705	4
Mačkovci	9202	16.163	46.784	40
Petrovci	9203	16.182	46.837	1
Šalovci	9204	16.288	46.824	1
Hodoš/Hodos	9205	16.321	46.831	0
Križevci	9206	16.109	46.57	1230
Prosenjakovci/Partosfalva	9207	16.313	46.74	1
Fokovci	9208	16.264	46.737	3
Lendava/Lendva	9220	16.453	46.564	123
Martjanci	9221	16.191	46.685	39
Bogojina	9222	16.277	46.678	8
Dobrovnik/Dobronak	9223	16.343	46.652	2
Turnišče	9224	16.314	46.625	9
Velika Polana	9225	16.345	46.573	6
Moravske Toplice	9226	16.222	46.686	494
Kobilje	9227	16.398	46.687	4
Beltinci	9231	16.237	46.608	1720
Črenšovci	9232	16.288	46.572	6
Odranci	9233	16.276	46.585	8
Ljutomer	9240	16.198	46.519	680
Veržej	9241	16.164	46.583	143
Križevci pri Ljutomeru	9242	16.137	46.566	388
Mala Nedelja	9243	16.052	46.523	337
Sveti Jurij ob Ščavnici	9244	16.023	46.563	114
Spodnji Ivanjci	9245	15.981	46.593	73
Gornja Radgona	9250	15.991	46.677	1080
Tišina	9251	16.083	46.651	10
Radenci	9252	16.04	46.644	625
Apače	9253	15.91	46.698	72
Cankova	9261	16.02	46.718	46
Rogašovci	9262	16.034	46.808	1420
Kuzma	9263	16.081	46.835	8
Grad	9264	16.099	46.79	9740
Bodonci	9265	16.095	46.75	20
